col_index,col_winery,col_wine,col_figure,col_rating,col_ratingC,col_location_country,col_location_region,col_url,col_year
0,Niepoort,Colheita Port 1937,NA,4.9,35,Portugal,Colheita Port,https://www.vivino.com/niepoort-vinhos-sa-colheita-port/w/8971?year=1937&price_id=7709497,1937
1,Quinta do Noval,Port Tawny Colheita 1937,NA,4.9,31,Portugal,Colheita Port,https://www.vivino.com/quinta-do-noval-port-tawny-colheita/w/1175612?year=1937&price_id=2210729,1937
2,Casa Ferreirinha,Barca Velha Douro 2000,NA,4.8,1511,Portugal,Colheita Port,https://www.vivino.com/casa-ferreirinha-barca-velha-douro/w/75975?year=2000&price_id=5499601,2000
3,Vega Sicilia,Unico 1996,NA,4.8,1000,Spain,Ribera del Duero,https://www.vivino.com/vega-sicilia-unico/w/77137?year=1996&price_id=3771442,1996
4,Vega Sicilia,Unico 1998,NA,4.8,971,Spain,Ribera del Duero,https://www.vivino.com/vega-sicilia-unico/w/77137?year=1998&price_id=3771445,1998
5,Vega Sicilia,Unico 1995,NA,4.8,688,Spain,Ribera del Duero,https://www.vivino.com/vega-sicilia-unico/w/77137?year=1995&price_id=16834653,1995
6,Viña Cobos,Cobos Volturno 2013,NA,4.8,548,Spain,Ribera del Duero,https://www.vivino.com/vina-cobos-cobos-volturno/w/1505859?year=2013&price_id=12895939,2013
7,Casa Ferreirinha,Barca Velha Douro 1982,NA,4.8,397,Spain,Ribera del Duero,https://www.vivino.com/casa-ferreirinha-barca-velha-douro/w/75975?year=1982&price_id=16834996,1982
8,Taylor's,Very Old Single Harvest Port 1966,NA,4.8,291,Portugal,Tawny Port,https://www.vivino.com/taylors-port-very-old-single-harvest-port/w/1598998?year=1966&price_id=13109366,1966
9,Casa Ferreirinha,Barca Velha Douro 1966,NA,4.8,273,Portugal,Tawny Port,https://www.vivino.com/casa-ferreirinha-barca-velha-douro/w/75975?year=1966&price_id=6964360,1966
10,Krug,Clos d'Ambonnay Blanc de Noirs Brut Champagne 1998,NA,4.8,146,Portugal,Tawny Port,https://www.vivino.com/krug-clos-d-ambonnay-blanc-de-noirs-brut-champagne/w/1220504?year=1998&price_id=1413288,1998
11,Krug,Clos du Mesnil Blanc de Blancs Brut Champagne 1996,NA,4.8,132,Portugal,Tawny Port,https://www.vivino.com/krug-clos-du-mesnil-blanc-de-blancs-brut-champagne/w/79635?year=1996&price_id=1112118,1996
12,W. & J. Graham's,Single Harvest Tawny Port 1952,NA,4.8,115,Portugal,Tawny Port,https://www.vivino.com/w-and-j-grahams-single-harvest-tawny-port/w/1630149?year=1952&price_id=2210638,1952
13,E. Guigal,Côte-Rôtie La Mouline 2009,NA,4.8,81,Portugal,Tawny Port,https://www.vivino.com/e-guigal-cote-rotie-la-mouline/w/36434?year=2009&price_id=16835154,2009
