col_index,col_index_det,col_people,col_people_rating,col_people_link
0,0,Fabien Lainé,2481,https://www.vivino.com/users/fabienl
0,1,Reed,1316,https://www.vivino.com/users/reed
0,2,Frank Paredes,43,https://www.vivino.com/users/frank-pare
1,0,Steven Petrosino,1501,https://www.vivino.com/users/steven.petro
1,1,Marco Vino,1569,https://www.vivino.com/users/marco_man
1,2,Jock Busser,1,https://www.vivino.com/users/jock.b
2,0,Laci champagne,4115,https://www.vivino.com/users/ladislauk
2,1,Adrian Butuc,3227,https://www.vivino.com/users/gavril-adrianb
2,2,BR,243,https://www.vivino.com/users/bruno-ramos
3,0,Mats_kl,2371,https://www.vivino.com/users/mats-kl
3,1,José C.,1385,https://www.vivino.com/users/josec19
3,2,Declan Hegarty,565,https://www.vivino.com/users/declan_h
4,0,Jason Hu,3518,https://www.vivino.com/users/jasonhu9
4,1,Peter Knipp,126,https://www.vivino.com/users/peter_kni
4,2,Matteo Furlan,1348,https://www.vivino.com/users/matteo_fur
5,0,Nudge Stratford,3956,https://www.vivino.com/users/nudges
5,1,Chris,394,https://www.vivino.com/users/mf8c51c8d53ffc0d6a75600d622a756b
5,2,James Leighton,210,https://www.vivino.com/users/james-lei
6,0,WineEducator,481,https://www.vivino.com/users/patrickhart0
6,1,Rodrigo Sitta,4704,https://www.vivino.com/users/rodrigo.sit
6,2,Bernardo F,1087,https://www.vivino.com/users/bernardof
7,0,Kiko,629,https://www.vivino.com/users/kiko_a
7,1,Helio Zveibil,902,https://www.vivino.com/users/helio.zv
7,2,Kristian Fjeldgaard,877,https://www.vivino.com/users/kristian_fj
8,0,Tatiana Livesey,793,https://www.vivino.com/users/tatiana.li
8,1,Terry Hsiao,1651,https://www.vivino.com/users/terry.hsi
8,2,Rasmus,1021,https://www.vivino.com/users/rasmus3
9,0,Lars Nicolay Solbjørg,318,https://www.vivino.com/users/lars-nicolays
9,1,Óscar Correia,520,https://www.vivino.com/users/scar.co
9,2,Haris Naunitlal,428,https://www.vivino.com/users/haris.n
10,0,!Matthew K,760,https://www.vivino.com/users/matthewk1
10,1,EL Toh,931,https://www.vivino.com/users/tohe
10,2,Sylvester Gbewonyo Jr.,4897,https://www.vivino.com/users/sylvester.g
11,0,Johan P.,1675,https://www.vivino.com/users/johan.po
11,1,Francis Douglas,1884,https://www.vivino.com/users/francis_do
11,2,Sylvester Gbewonyo Jr.,4897,https://www.vivino.com/users/sylvester.g
12,0,Justin Schenck,737,https://www.vivino.com/users/justin.schen
12,1,MM,654,https://www.vivino.com/users/matthew.miller
12,2,Daniel Cardoso,604,https://www.vivino.com/users/danielcardoso6
13,0,Benjamin Bailleux,1779,https://www.vivino.com/users/benjamin.bai
13,1,Mats_kl,2371,https://www.vivino.com/users/mats-kl
13,2,Vino 58,596,https://www.vivino.com/users/vino.5
14,0,Al Alvarez,1514,https://www.vivino.com/users/alalvarez
14,1,BoozeBaron,226,https://www.vivino.com/users/tonci.jakicevich
14,2,Deb Hemsey,633,https://www.vivino.com/users/deb-hem
15,0,Mr Beach,189,https://www.vivino.com/users/paul.stran
15,1,Roman Pavuk,921,https://www.vivino.com/users/roman.pavu
15,2,Kristjan Bragason,307,https://www.vivino.com/users/kristjan.br
16,0,Pedro Lobo,14,https://www.vivino.com/users/pedro.lobo4
16,1,Emre Kavlak,951,https://www.vivino.com/users/emre-ka
16,2,Luiz Octavio Moura,7049,https://www.vivino.com/users/luiz-octavio.m
17,0,Don Quijote de la Mancha,472,https://www.vivino.com/users/aelioa
17,1,Pszemo Pszemo,1413,https://www.vivino.com/users/pszemo.pszemo
17,2,Renato Parra,1543,https://www.vivino.com/users/renato.parr
18,0,Joao Silva,391,https://www.vivino.com/users/joaosilva2
18,1,Rodrigo Sitta,4704,https://www.vivino.com/users/rodrigo.sit
18,2,Antonio Azevedo,1905,https://www.vivino.com/users/antonio-aze
19,0,Rafa Rizzo,382,https://www.vivino.com/users/rafarizzo
19,1,Paulo Monteiro,418,https://www.vivino.com/users/paulo_montei
19,2,Aluísio Leibanti,1108,https://www.vivino.com/users/alusiol
20,0,Jeremy Seow,1451,https://www.vivino.com/users/jeremy-seow
20,1,Chris England,2508,https://www.vivino.com/users/chrisengland
20,2,bruno schenk - wine o'clock,2924,https://www.vivino.com/users/bruno71
21,0,Fabien Lainé,2481,https://www.vivino.com/users/fabienl
21,1,Mats_kl,2371,https://www.vivino.com/users/mats-kl
21,2,Mattias Assmundson,2968,https://www.vivino.com/users/mattias.as
22,0,Jorge Mario,2103,https://www.vivino.com/users/jorge-mario
22,1,Inyenieur Ramon,1758,https://www.vivino.com/users/ramon.lec
22,2,bruno schenk - wine o'clock,2924,https://www.vivino.com/users/bruno71
23,0,Firat Balkan,1306,https://www.vivino.com/users/firat.b
23,1,Bruno Mendes,815,https://www.vivino.com/users/bumendes
23,2,Antoni Ferrer,1764,https://www.vivino.com/users/toni-fer
24,0,Scott Van Kerkhove,779,https://www.vivino.com/users/lsuscott
24,1,Chris Wilson,294,https://www.vivino.com/users/ed7aa5e7080de09dbcb115324f30d87d
24,2,Kevin Ortzman,1349,https://www.vivino.com/users/kevin_ort
25,0,bruno schenk - wine o'clock,2924,https://www.vivino.com/users/bruno71
25,1,Gavin (The Wine Taster),5732,https://www.vivino.com/users/gavin-wit
25,2,Antoni Ferrer,1764,https://www.vivino.com/users/toni-fer
26,0,Karol Buczynski,610,https://www.vivino.com/users/karol.buczynski
26,1,Antonio Mello,412,https://www.vivino.com/users/antonio.mello1
26,2,Paulo Monteiro,418,https://www.vivino.com/users/paulo_montei
27,0,Gaby M.,954,https://www.vivino.com/users/gaby.met
27,1,Yvonne Couch,63,https://www.vivino.com/users/yvonne_cou
27,2,Chin G,2795,https://www.vivino.com/users/chin-yeeg
28,0,*Burgnut*,3310,https://www.vivino.com/users/burgnutm
28,1,Champagne Spy,773,https://www.vivino.com/users/champagnespy
28,2,Firat Balkan,1306,https://www.vivino.com/users/firat.b
29,0,Kyle P,691,https://www.vivino.com/users/kylep
29,1,Kevin Ortzman,1349,https://www.vivino.com/users/kevin_ort
29,2,Dick Schinkel,2963,https://www.vivino.com/users/dick.sc
30,0,bruno schenk - wine o'clock,2924,https://www.vivino.com/users/bruno71
30,1,Tawanda M,326,https://www.vivino.com/users/tawanda.m
30,2,Call me Tibbs,560,https://www.vivino.com/users/mister_t
31,0,Ambassador Petrolhead,2963,https://www.vivino.com/users/jacoba4
31,1,Gallery of Wines,818,https://www.vivino.com/users/john.bene
31,2,Tor Erling Gunnerod,167,https://www.vivino.com/users/tor-erlingg
32,0,Johan P.,1675,https://www.vivino.com/users/johan.po
32,1,Firat Balkan,1306,https://www.vivino.com/users/firat.b
32,2,German,2456,https://www.vivino.com/users/gino.vac
33,0,DrC,3065,https://www.vivino.com/users/kevinchan2
33,1,Fabien Lainé,2481,https://www.vivino.com/users/fabienl
33,2,Al Alvarez,1514,https://www.vivino.com/users/alalvarez
34,0,Guilherme Queiroga,207,https://www.vivino.com/users/guilherme-q
34,1,Iulian Grigorescu,1148,https://www.vivino.com/users/iulian.g
34,2,Jeferson Delpoio,1298,https://www.vivino.com/users/jefersond
35,0,Felix Christen,4994,https://www.vivino.com/users/felix.chr
35,1,Deano,1014,https://www.vivino.com/users/dean.milb
35,2,Ben Arnold,1401,https://www.vivino.com/users/ben_arno
36,0,Marco M,486,https://www.vivino.com/users/marco.moraz
36,1,Artem Gulyaev,1398,https://www.vivino.com/users/artem_gul
36,2,Mits Eguchi,2098,https://www.vivino.com/users/mitsuaki.eguchi
37,0,Benz J,511,https://www.vivino.com/users/benzj
37,1,Ptit LU E.,1972,https://www.vivino.com/users/ptit-lue
37,2,Dick Schinkel,2963,https://www.vivino.com/users/dick.sc
38,0,Adelino Dias,134,https://www.vivino.com/users/adelino-di
38,1,Jose Matos,1933,https://www.vivino.com/users/jose.mato
38,2,Se Chang Choi,262,https://www.vivino.com/users/se-changc
39,0,Chris England,2508,https://www.vivino.com/users/chrisengland
39,1,bruno schenk - wine o'clock,2924,https://www.vivino.com/users/bruno71
39,2,Bela Nemeth,992,https://www.vivino.com/users/bela.n
40,0,bruno schenk - wine o'clock,2924,https://www.vivino.com/users/bruno71
40,1,Riccardo Tonelli,199,https://www.vivino.com/users/riccardo.ton
40,2,Kyung Sun Chung,875,https://www.vivino.com/users/kyung-sunc
41,0,Gaurav Agarwala,357,https://www.vivino.com/users/gaurav_ag
41,1,Jack Owens,417,https://www.vivino.com/users/jack.ow
41,2,Jeremy Seow,1451,https://www.vivino.com/users/jeremy-seow
42,0,Dick Schinkel,2963,https://www.vivino.com/users/dick.sc
42,1,Rafa Rizzo,382,https://www.vivino.com/users/rafarizzo
